kind,subj_term,rel,correct,gate_1mu,gate_b,foil,a,m_l1,m_l2,m_ref,action,tag
id,Alice Nguyen,is married to,1,0.802058,0.445877,0.980531,0.050293,0.011475,0.912354,0.207968,answer,None
ood,John Chang,lives in,0,0.338027,0.000006,0.024407,0.033203,0.000488,0.076172,0.240071,recollect,None
ood,Sarah Fisher,is married to,0,0.428634,0.000001,0.035915,0.036377,0.003662,0.002197,0.274270,recollect,None
coll,Hugo Nguyen,manages,1,0.782593,0.000001,0.690698,0.049316,0.015625,0.000000,0.179614,deliberate,stored
id,Peter Fisher,is scheduled at,1,0.836980,0.382360,0.994288,0.052246,0.019287,0.926514,0.176152,deliberate,referential
ood,Zoe Silva,lives in,0,0.487326,0.000001,0.089493,0.038330,0.001953,0.017578,0.167472,recollect,None
id,Delta Logistics,is scheduled at,1,0.859780,0.742318,0.994018,0.053711,0.025391,0.972656,0.337493,answer,None
id,Felix Yang,is married to,1,0.953764,0.515355,0.999800,0.063721,0.034180,0.944092,0.202936,answer,None
ref,John,is scheduled at,1,0.991854,0.164039,0.999989,0.078369,0.033203,0.729980,0.060505,deliberate,referential
id,Clara (dentist),was born in,1,0.546370,0.292373,0.774951,0.040283,0.001953,0.918701,0.201257,recollect,None
id,Chris (dentist),reports to,1,0.716215,0.486177,0.960813,0.046387,0.013672,0.953369,0.249866,answer,None
ood,Felix Yang,manages,0,0.392843,0.000001,0.056560,0.035156,0.006592,0.018799,0.202936,recollect,None
id,Sam Vogel,is a sibling of,1,0.710163,0.202248,0.973297,0.046143,0.008789,0.955322,0.116334,deliberate,referential
ood,Ella Webber,reports to,0,0.371883,0.000002,0.062408,0.034424,0.007568,0.039795,0.186748,recollect,None
coll,Quarry Dynamics,reports to,1,0.951083,0.000002,0.977468,0.063232,0.021729,0.000000,0.229674,deliberate,stored
ood,James Olsen,is married to,0,0.421403,0.000001,0.033687,0.036133,0.000000,0.003418,0.231665,recollect,None
id,Zoe (colleague),manages,1,0.897389,0.422556,0.994443,0.056641,0.024902,0.589111,0.180669,deliberate,referential
ref,Anna,studied at,1,0.923723,0.111069,0.999349,0.059326,0.031250,0.644775,0.030787,deliberate,referential
id,Atlas Foods,studied at,1,0.885966,0.799145,0.992353,0.055664,0.029297,0.770020,0.367575,answer,None
coll,Laura (friend from work),works at,1,0.977388,0.000002,0.993211,0.069824,0.011963,0.000000,0.124926,deliberate,stored
ref,Anna,is married to,1,0.797318,0.095870,0.984275,0.050049,0.013916,0.644775,0.030787,deliberate,referential
id,Max Lopez,manages,1,0.997260,0.563911,0.999999,0.087402,0.048096,0.847412,0.211068,answer,None
id,Grace Zhang,lives in,1,0.767112,0.365737,0.971990,0.048584,0.008545,0.923584,0.182562,deliberate,referential
ood,Sofia Weber,is scheduled at,0,0.414206,0.000002,0.053621,0.035889,0.001465,0.027100,0.176868,recollect,None
id,Lena Schmidt,studied at,1,0.672306,0.426448,0.889591,0.044678,0.007568,0.847412,0.234059,answer,None
id,Emma Meier,is scheduled at,1,0.957525,0.558024,0.999831,0.064453,0.035400,0.947266,0.216735,answer,None
ref,Tom,manages,0,0.230637,0.000685,0.081163,0.028809,0.002197,0.253906,0.018309,recollect,None
id,Maria (colleague),is married to,1,0.797318,0.289223,0.982175,0.050049,0.017090,0.731445,0.144923,deliberate,referential
id,Julia Hansen,works at,1,0.611192,0.430441,0.909719,0.042480,0.013428,0.946533,0.259416,recollect,None
id,Hugo Nguyen,was born in,1,0.956305,0.447158,0.999638,0.064209,0.026611,0.876709,0.179614,deliberate,referential
id,Orion Media,was born in,1,0.553693,0.387956,0.800553,0.040527,0.007324,0.928711,0.258039,recollect,None
id,Sam (friend from work),was born in,1,0.844894,0.725076,0.989239,0.052734,0.023926,0.891357,0.334024,answer,None
ood,Delta Robotics,reports to,0,0.312071,0.000001,0.011756,0.032227,0.002930,0.031494,0.333183,recollect,None
id,Peter Cheng,reports to,1,0.905280,0.363811,0.998905,0.057373,0.024902,0.948730,0.158188,deliberate,referential
ood,Max Quinn,manages,0,0.331438,0.000001,0.016736,0.032959,0.001953,0.001221,0.267702,recollect,None
ood,Adam Hansen,is a sibling of,0,0.338027,0.000106,0.055266,0.033203,0.005371,0.177002,0.224082,recollect,None
id,Laura (brother),was born in,1,0.927789,0.493822,0.997611,0.059814,0.018311,0.812256,0.200337,answer,None
id,James Nguyen,is scheduled at,1,0.938817,0.438980,0.999400,0.061279,0.030273,0.823975,0.179614,deliberate,referential
ood,Lena Evans,studied at,0,0.539026,0.000010,0.135199,0.040039,0.006348,0.080811,0.242010,recollect,None
ood,Mark Evans,reports to,0,0.269416,0.000001,0.017929,0.030518,0.003662,0.029053,0.214104,recollect,None
coll,Orion Foods,is scheduled at,1,0.870144,0.000002,0.502520,0.054443,0.002686,0.000000,0.316189,deliberate,stored
id,Cambridge (UK),reports to,1,0.973877,0.231571,0.999957,0.068604,0.032959,0.945801,0.096810,deliberate,referential
id,Max Hansen,is a sibling of,1,0.611192,0.369725,0.855137,0.042480,0.004639,0.926514,0.224082,recollect,None
id,Laura Wang,is a sibling of,1,0.399923,0.230186,0.583593,0.035400,0.002441,0.952637,0.214371,recollect,None
id,Simon Hansen,is married to,1,0.618200,0.421600,0.892002,0.042725,0.014893,0.836426,0.251031,recollect,None
id,Julia Johnson,reports to,0,0.230637,0.180574,0.161344,0.028809,0.000732,0.939209,0.292627,recollect,None
ood,Robert Baker,was born in,0,0.235930,0.000001,0.011462,0.029053,0.000977,0.010742,0.195099,recollect,None
ood,Oscar Kline,manages,0,0.235930,0.000000,0.007728,0.029053,0.002686,0.000000,0.275379,recollect,None
ref,Sofia,was born in,0,0.235930,0.000003,0.041004,0.029053,0.000488,0.065430,0.008274,recollect,None
id,Grace (sister-in-law),reports to,1,0.938817,0.299105,0.999590,0.061279,0.025879,0.933838,0.129182,deliberate,referential
ood,Anna (cousin),is a sibling of,0,0.465187,0.061087,0.350622,0.037598,0.005615,0.388184,0.137221,recollect,None
id,Laura Novak,reports to,0,0.502118,0.343916,0.674973,0.038818,0.002686,0.930176,0.252122,recollect,None
ood,Max (dentist),is a sibling of,0,0.312071,0.000007,0.015115,0.032227,0.004150,0.085449,0.339877,recollect,None
id,Anna (brother),is a sibling of,1,0.876686,0.298773,0.996544,0.054932,0.021240,0.813232,0.137221,deliberate,referential
ood,Maria (friend from the gym),reports to,0,0.443185,0.000001,0.063294,0.036865,0.002441,0.008545,0.181171,recollect,None
id,Tom (friend from the gym),is a sibling of,1,0.994441,0.437679,0.999997,0.081543,0.045898,0.838623,0.170748,deliberate,referential
id,Zoe (manager),manages,1,0.604137,0.284471,0.802905,0.042236,0.013428,0.589111,0.180668,recollect,None
ood,Laura Novak,manages,0,0.582723,0.000001,0.127572,0.041504,0.006348,0.000488,0.252122,recollect,None
id,David (colleague),lives in,1,0.856175,0.470392,0.991619,0.053467,0.016113,0.871094,0.205863,answer,None
ood,Simon (colleague),lives in,0,0.215263,0.000021,0.010460,0.028076,0.000488,0.137207,0.249444,recollect,None
id,Tom (friend from the gym),lives in,1,0.897389,0.394964,0.998613,0.056641,0.025391,0.935303,0.170748,deliberate,referential
coll,Apex Foods,works at,1,0.870144,0.000002,0.445199,0.054443,0.003662,0.000000,0.366288,deliberate,stored
id,Ivy Johansson,was born in,1,0.931655,0.534106,0.999349,0.060303,0.028564,0.945068,0.213622,answer,None
id,Zenith Dynamics,is scheduled at,1,0.820179,0.480877,0.993547,0.051270,0.022217,0.954102,0.217897,answer,None
ref,Sarah,is scheduled at,1,0.888922,0.108717,0.996494,0.055908,0.017090,0.671143,0.032335,deliberate,referential
id,David Carter,is scheduled at,1,0.852492,0.341865,0.995836,0.053223,0.019531,0.924072,0.157902,deliberate,referential
coll,Sam Ziegler,studied at,1,0.907787,0.000002,0.781003,0.057617,0.007324,0.000000,0.272540,deliberate,stored
ood,Nora Evans,studied at,0,0.371883,0.000336,0.049958,0.034424,0.000977,0.213135,0.248696,recollect,None
id,Paul Meier,manages,1,0.952441,0.313512,0.999495,0.063477,0.019043,0.906494,0.133044,deliberate,referential
id,Ivy Ziegler,is a sibling of,1,0.923723,0.793683,0.997167,0.059326,0.020752,0.961670,0.334708,answer,None
id,Laura (manager),manages,1,0.638921,0.362536,0.903693,0.043457,0.013428,0.797119,0.211706,recollect,None
ood,Leo (dentist),reports to,0,0.318458,0.000043,0.030807,0.032471,0.003906,0.148193,0.263848,recollect,None
id,Oscar Meyer,was born in,1,0.840977,0.304155,0.996017,0.052490,0.021484,0.913574,0.144550,deliberate,referential
ref,Michael,is a sibling of,0,0.293338,0.000020,0.065999,0.031494,0.001221,0.125488,0.052617,recollect,None
ood,Max (dentist),is scheduled at,0,0.220304,0.000000,0.004074,0.028320,0.001221,0.002441,0.339877,recollect,None
ood,Chris Sousa,is married to,0,0.378821,0.000001,0.055036,0.034668,0.002686,0.005615,0.134194,recollect,None
id,Emma Yang,studied at,1,0.848732,0.373238,0.991525,0.052979,0.024658,0.661377,0.170629,deliberate,referential
id,Anna (colleague),is scheduled at,1,0.910234,0.514444,0.992737,0.057861,0.013672,0.731445,0.210976,answer,None
id,Hugo (friend from the gym),was born in,1,0.984497,0.513094,0.999822,0.072998,0.024170,0.671143,0.196780,answer,None
ood,Meridian Energy,is a sibling of,0,0.351394,0.000003,0.032078,0.033691,0.004395,0.054688,0.246130,recollect,None
id,Simon (manager),is married to,1,0.912622,0.618450,0.998034,0.058105,0.025879,0.881104,0.249444,answer,None
ood,Quarry Energy,manages,0,0.364998,0.000020,0.029310,0.034180,0.003418,0.117432,0.303746,recollect,None
id,Paul Rios,works at,1,0.910234,0.286218,0.998311,0.057861,0.016357,0.932129,0.127646,deliberate,referential
id,Clinton,reports to,1,0.704034,0.691164,0.793671,0.045898,0.012207,0.936035,0.508676,answer,None
ood,Michael (colleague),manages,0,0.358167,0.000001,0.025811,0.033936,0.002441,0.018066,0.243844,recollect,None
ref,Emma,is married to,1,0.806713,0.084600,0.990071,0.050537,0.009521,0.813232,0.018460,deliberate,referential
ood,Lena Jones,is scheduled at,0,0.293338,0.000001,0.019583,0.031494,0.005127,0.015869,0.242010,recollect,None
id,Salem,lives in,1,0.457834,0.452986,0.207203,0.037354,0.005127,0.894775,0.552994,recollect,None
id,Zoe Silva,is scheduled at,1,0.882942,0.379718,0.997046,0.055420,0.018066,0.943604,0.167472,deliberate,referential
id,Orion Logistics,reports to,1,0.888922,0.612190,0.995724,0.055908,0.022461,0.867920,0.253519,answer,None
coll,David (neighbour),manages,1,0.806713,0.000001,0.625807,0.050537,0.010742,0.000000,0.205863,deliberate,stored
id,Alice Evans,studied at,1,0.985795,0.728008,0.999976,0.073730,0.040527,0.952881,0.273054,answer,None
id,Adam (old classmate),is scheduled at,1,0.955051,0.387513,0.999711,0.063965,0.025635,0.937012,0.159475,deliberate,referential
ood,Nora (manager),works at,0,0.263632,0.000001,0.009351,0.030273,0.002197,0.010742,0.284607,recollect,None
ood,Lena Vogel,is scheduled at,0,0.428634,0.000001,0.068416,0.036377,0.004883,0.002930,0.178691,recollect,None
id,John (manager),was born in,1,0.546370,0.434109,0.709440,0.040283,0.006104,0.899414,0.298198,recollect,None
id,Ella Wang,studied at,1,0.820179,0.472076,0.980693,0.051270,0.014404,0.812256,0.214371,answer,None
id,Sarah Olson,manages,1,0.919447,0.576912,0.998070,0.058838,0.020752,0.923096,0.231705,answer,None
id,Acme Media,is a sibling of,1,0.659138,0.575830,0.630552,0.044189,0.002441,0.744141,0.344661,answer,None
ood,Simon Lopez,works at,0,0.318458,0.000001,0.029234,0.032471,0.002930,0.001221,0.170204,recollect,None
id,John Meyer,lives in,1,0.952441,0.344468,0.999777,0.063477,0.030273,0.913574,0.144550,deliberate,referential
id,Lisbon,studied at,1,0.632067,0.600246,0.618839,0.043213,0.001465,0.934326,0.424977,recollect,None
ref,David,manages,0,0.435896,0.000001,0.142109,0.036621,0.005371,0.000000,0.057595,recollect,None
id,Max Lopez,studied at,1,0.923723,0.522328,0.998873,0.059326,0.027344,0.871826,0.211068,answer,None
id,Pioneer Media,manages,1,0.582723,0.522546,0.744159,0.041504,0.012939,0.845459,0.362913,recollect,None
id,Peter Evans,was born in,1,0.891810,0.544826,0.997334,0.056152,0.025391,0.876709,0.226095,answer,None
id,Sarah Chang,works at,1,0.885966,0.472313,0.997598,0.055664,0.024414,0.909424,0.200609,answer,None
id,Michael Tran,reports to,1,0.618200,0.523587,0.817075,0.042725,0.010742,0.880859,0.326873,recollect,None
ood,Nora Zheng,studied at,0,0.659138,0.000003,0.311682,0.044189,0.008545,0.030518,0.201494,deliberate,stored
ood,Tom (friend from the gym),is married to,0,0.205435,0.000000,0.010849,0.027588,0.002686,0.000000,0.170748,recollect,None
id,Michael Lopez,lives in,1,0.704034,0.350706,0.963508,0.045898,0.012939,0.916016,0.189404,deliberate,referential
ood,John Meyer,manages,0,0.421403,0.000001,0.067094,0.036133,0.002686,0.000000,0.144550,recollect,None
id,Chris Sousa,works at,1,0.399923,0.132914,0.706938,0.035400,0.004150,0.932129,0.134194,recollect,None
id,Simon Quinn,was born in,1,0.866764,0.521939,0.992759,0.054199,0.022461,0.768799,0.223161,answer,None
ood,David Carter,works at,0,0.269416,0.001365,0.052062,0.030518,0.001709,0.272217,0.157902,recollect,None
id,Ella Webber,lives in,1,0.929747,0.455427,0.996745,0.060059,0.010986,0.844482,0.186748,deliberate,referential
coll,Maya Quinn,studied at,1,0.968959,0.000002,0.976633,0.067139,0.013184,0.000000,0.257193,deliberate,stored
ood,Apex Consulting,is a sibling of,0,0.205435,0.000001,0.004164,0.027588,0.001465,0.021240,0.326710,recollect,None
id,Julia Zhang,studied at,1,0.959867,0.324244,0.999775,0.064941,0.024414,0.938721,0.136151,deliberate,referential
ood,Simon Meier,manages,0,0.338027,0.000684,0.052201,0.033203,0.003418,0.240723,0.248456,recollect,None
coll,Tom (old classmate),is married to,1,0.761784,0.000001,0.431587,0.048340,0.003174,0.000000,0.167408,deliberate,stored
id,Maria Lowe,lives in,1,0.929747,0.533225,0.998606,0.060059,0.020020,0.930176,0.213697,answer,None
ood,Victor Cheng,studied at,0,0.392843,0.000011,0.059987,0.035156,0.000244,0.093018,0.158188,recollect,None
id,Maria (manager),is scheduled at,1,0.894632,0.535145,0.984984,0.056396,0.017334,0.556396,0.221829,answer,None
ref,Sarah,is a sibling of,0,0.358167,0.000049,0.139842,0.033936,0.002930,0.148682,0.032335,recollect,None
id,Michael Reyes,studied at,1,0.685209,0.207118,0.969293,0.045166,0.010986,0.935303,0.123079,deliberate,referential
id,Michael Johnson,works at,1,0.863310,0.507229,0.994679,0.053955,0.020264,0.902100,0.218305,answer,None
id,Victor (colleague),studied at,1,0.914953,0.704315,0.997044,0.058350,0.025391,0.829102,0.286566,answer,None
ood,Mark Kim,was born in,0,0.195943,0.000000,0.004440,0.027100,0.000244,0.000000,0.271546,recollect,None
ood,Hugo Ito,is a sibling of,0,0.293338,0.000001,0.008759,0.031494,0.005371,0.002930,0.371030,recollect,None
ood,Emma Tran,manages,0,0.509515,0.000001,0.070299,0.039062,0.008789,0.008057,0.315098,recollect,None
id,Victor Fischer,is a sibling of,1,0.828743,0.213153,0.994321,0.051758,0.015381,0.918945,0.105154,deliberate,referential
id,Nora Patel,is married to,1,0.959867,0.430077,0.998053,0.064941,0.013916,0.637207,0.173319,deliberate,referential
ood,Laura (brother),works at,0,0.177963,0.000001,0.006423,0.026123,0.000244,0.035889,0.200337,recollect,None
id,Zenith Robotics,reports to,1,0.879849,0.720631,0.994938,0.055176,0.021973,0.965332,0.310788,answer,None
id,Maria (friend from the gym),is a sibling of,1,0.945273,0.446581,0.996572,0.062256,0.004395,0.838623,0.181171,deliberate,referential
ood,Orion Systems,manages,0,0.358167,0.000001,0.041899,0.033936,0.001953,0.007080,0.148679,recollect,None
id,Vertex Labs,was born in,1,0.733906,0.561698,0.965227,0.047119,0.016357,0.948486,0.284581,answer,None
id,Sarah Yang,studied at,1,0.716215,0.314962,0.934963,0.046387,0.014648,0.661377,0.170629,deliberate,referential
ood,Summit Analytics,works at,0,0.450499,0.016885,0.056523,0.037109,0.000244,0.341797,0.385807,recollect,None
ref,Emma,is a sibling of,0,0.524292,0.054983,0.785708,0.039551,0.001221,0.692139,0.018460,recollect,None
ood,Michael Lopez,reports to,0,0.443185,0.000004,0.087693,0.036865,0.005615,0.051025,0.189404,recollect,None
id,Clara Patel,works at,1,0.745303,0.333940,0.960262,0.047607,0.012695,0.779053,0.173319,deliberate,referential
ood,Maya (accountant),was born in,0,0.378821,0.000001,0.020218,0.034668,0.001953,0.014160,0.300532,recollect,None
ood,Simon Klein,lives in,0,0.305754,0.000001,0.011991,0.031982,0.002197,0.004883,0.296266,recollect,None
id,Daniel Reyes,is married to,1,0.931655,0.281612,0.998166,0.060303,0.024170,0.610596,0.123079,deliberate,referential
id,Mark (old classmate),is married to,1,0.815774,0.597763,0.977130,0.051025,0.018066,0.795654,0.270692,answer,None
ood,Iris Webber,reports to,0,0.371883,0.000001,0.023998,0.034424,0.000244,0.009033,0.238997,recollect,None
id,Quarry Media,manages,1,0.750879,0.683768,0.931235,0.047852,0.017334,0.845459,0.375702,answer,None
id,Emma Webber,was born in,1,0.710163,0.333166,0.936796,0.046143,0.005127,0.893799,0.180112,deliberate,referential
id,Meridian Systems,is scheduled at,1,0.435896,0.291417,0.565653,0.036621,0.000732,0.954102,0.246130,recollect,None
coll,Julia Carter,manages,1,0.923723,0.000002,0.818248,0.059326,0.008057,0.000000,0.300030,deliberate,stored
id,Hugo (old classmate),was born in,1,0.885966,0.461742,0.993131,0.055664,0.021973,0.671143,0.196779,answer,None
id,Ella Wang,is married to,1,0.879849,0.506420,0.994119,0.055176,0.013672,0.938477,0.214371,answer,None
coll,Mark Wang,manages,1,0.553693,0.000001,0.095795,0.040527,0.002441,0.000000,0.223177,recollect,None
ood,Ella Hansen,was born in,0,0.235930,0.000163,0.023087,0.029053,0.001221,0.203857,0.199799,recollect,None
id,Sam Quinn,was born in,1,0.844894,0.576326,0.982758,0.052734,0.017090,0.768799,0.251086,answer,None
id,Tom (friend from work),works at,1,0.797318,0.255821,0.973634,0.050049,0.014404,0.655273,0.130011,deliberate,referential
id,Victor Zhang,is a sibling of,1,0.960992,0.383982,0.999898,0.065186,0.035889,0.937012,0.157419,deliberate,referential
id,Sofia Weber,reports to,1,0.973877,0.447061,0.999943,0.068604,0.034912,0.958740,0.176868,deliberate,referential
id,Elena Hanson,was born in,1,0.870144,0.631565,0.983620,0.054443,0.007324,0.918701,0.267880,answer,None
id,Michael Reyes,is married to,1,0.976725,0.295235,0.999722,0.069580,0.024414,0.610596,0.123079,deliberate,referential
ood,Elena (landlord),manages,0,0.215263,0.000000,0.010435,0.028076,0.001953,0.006592,0.188150,recollect,None
ood,Maria Lowe,is married to,0,0.371883,0.000001,0.048541,0.034424,0.007324,0.017578,0.213697,recollect,None
id,Laura Novak,is scheduled at,1,0.378821,0.259466,0.539415,0.034668,0.006836,0.915283,0.252122,recollect,None
ood,Germantown,manages,0,0.371883,0.000001,0.016058,0.034424,0.002930,0.011475,0.341641,recollect,None
ood,Zenith Systems,is a sibling of,0,0.318458,0.000001,0.018263,0.032471,0.000488,0.000244,0.217897,recollect,None
id,Emma Zheng,works at,1,0.820179,0.386985,0.992437,0.051270,0.019775,0.901367,0.180976,deliberate,referential
ref,Tom,was born in,1,0.968057,0.101349,0.999930,0.066895,0.036621,0.702881,0.018309,deliberate,referential
id,Tom (cousin),works at,1,0.969837,0.350649,0.999814,0.067383,0.034912,0.655273,0.144510,deliberate,referential
coll,Mark (old classmate),was born in,1,0.938817,0.000002,0.833101,0.061279,0.001953,0.000000,0.270692,deliberate,stored
ref,Maria,is scheduled at,1,0.958712,0.123681,0.999786,0.064697,0.029541,0.698975,0.037219,deliberate,referential
ood,Vertex Energy,works at,0,0.338027,0.000001,0.010375,0.033203,0.004883,0.010986,0.398256,recollect,None
id,Maria (colleague),is scheduled at,1,0.820179,0.297516,0.966328,0.051270,0.013916,0.556396,0.144923,deliberate,referential
id,Acme Energy,is a sibling of,1,0.691556,0.618329,0.795437,0.045410,0.011230,0.744141,0.360677,answer,None
ood,Ruth Schmitt,studied at,0,0.378821,0.000073,0.083637,0.034668,0.009521,0.160400,0.241640,recollect,None
ood,Max Quinn,is a sibling of,0,0.269416,0.000001,0.010205,0.030518,0.001709,0.003662,0.267702,recollect,None
ood,Ella Zheng,studied at,0,0.378821,0.000080,0.085580,0.034668,0.004883,0.163574,0.180976,recollect,None
coll,Delta Robotics,lives in,1,0.963151,0.000002,0.925859,0.065674,0.007324,0.000000,0.333183,deliberate,stored
ood,Anna (colleague),reports to,0,0.358167,0.001346,0.063709,0.033936,0.000244,0.261963,0.210976,recollect,None
id,Robert Schmitt,studied at,1,0.844894,0.219603,0.997850,0.052734,0.024414,0.943359,0.106289,deliberate,referential
ood,Harbor Energy,is married to,0,0.225428,0.000001,0.008777,0.028564,0.004150,0.011963,0.263990,recollect,None
id,Lena Ziegler,reports to,1,0.604137,0.503105,0.873837,0.042236,0.013428,0.955566,0.318429,recollect,None
id,Georgetown,is scheduled at,1,0.956305,0.943036,0.998638,0.064209,0.033691,0.948975,0.531097,answer,None
ref,Michael,was born in,1,0.912622,0.138920,0.998359,0.058105,0.020264,0.724121,0.052617,deliberate,referential
